class,symptom1,symptom2,flow1,flow2
2005,"Mexico","Taiwan",873.0212,352.6497
2005,"Mexico","United Kingdom",2052.71,827.46
2005,"Netherlands","Austria",2058.64,4766.19
2005,"Netherlands","Belgium",33855.7,56587.5
2005,"Netherlands","China",34582.19,4093.27
2005,"Netherlands","France",16940.9,33033.1
2005,"Netherlands","Germany",60422.1,66313.3
2005,"Netherlands","Italy",8361.79,21744.2
2005,"Netherlands","Japan",11667.2,2131.5
2005,"Netherlands","Other Trade",102817.8,68092.45
2005,"Netherlands","South Korea",3652.16,2759.56
2005,"Netherlands","Spain",6526,14326.5
2005,"Netherlands","Switzerland",3010.23,6064.61
2005,"Netherlands","Taiwan",4323.121,2042.681
2005,"Other Trade","Austria",4228.63,3225.51
2005,"Other Trade","Belgium",2622.83,25917.25
2005,"Other Trade","China",132129.8,121562.5
2005,"Other Trade","France",10842.29,17587.52
2005,"Other Trade","Germany",32966.3,41494.7
2005,"Other Trade","Italy",26254.15,31086.3
2005,"Other Trade","Japan",67908.64,128182.7
2005,"Other Trade","Mexico",1050.11,466.41
2005,"Other Trade","Netherlands",5727.73,19090.51
2005,"Other Trade","Other Trade",579639,643146.9
2005,"Other Trade","South Korea",48142.19,65438.42
2005,"Other Trade","Spain",7073.6,14695.14
2005,"Other Trade","Switzerland",4079.44,5826.09
2005,"Other Trade","Taiwan",13025.99,28650.17
2005,"Other Trade","United Kingdom",3779.43,8280.53
2005,"South Korea","Japan",48403.2,24398.2
2005,"South Korea","Other Trade",39433.88,37936.61
2005,"Spain","Austria",2372.63,1451.87
2005,"Spain","China",12581.94,2715.69
2005,"Spain","Germany",44107.1,22405.4
2005,"Spain","Italy",24710.4,16391.5
2005,"Spain","Japan",5919.42,1765.46
2005,"Spain","Other Trade",77171.88,53066.66
2005,"Spain","South Korea",3341.24,653.33
2005,"Spain","Taiwan",1073.835,441.6185
2005,"Switzerland","Austria",5798.26,5742.05
2005,"Switzerland","China",4060.59,7146.79
2005,"Switzerland","Germany",39939.9,29263.3
2005,"Switzerland","Italy",13275.5,11637.9
2005,"Switzerland","Japan",2343.53,5035.99
2005,"Switzerland","Other Trade",14821.93,39064.98
2005,"Switzerland","South Korea",601.92,1170.13
2005,"Switzerland","Spain",3198.23,4320.67
2005,"Switzerland","Taiwan",285.1021,1336.448
2005,"Taiwan","Japan",45940.44,14480.68
2005,"Taiwan","Other Trade",27299.37,32116.05
2005,"Taiwan","South Korea",13203.48,5574.926
2005,"United Kingdom","Austria",3493.23,2818.05
2005,"United Kingdom","Belgium",22389.2,21658.8
2005,"United Kingdom","China",36123.07,11219.56
2005,"United Kingdom","France",34390.6,29782.6
2005,"United Kingdom","Germany",61932,48927.3
2005,"United Kingdom","Italy",19526.2,15529.4
2005,"United Kingdom","Japan",15917.6,6711.33
2005,"United Kingdom","Netherlands",31764.9,21215.3
2005,"United Kingdom","Other Trade",152744.4,119955.3
2005,"United Kingdom","South Korea",5605.09,3149.07
2005,"United Kingdom","Spain",15518.5,16825.4
